Time,RecordTime,Trigger,Timecode,D3 Time,LX Cue,D3 Cue
20:55.52,NO,LX,00:00:00:00,00:40:47.00,1/379,
20:55.53,NO,LX,00:00:00:00,00:40:47.00,1/380,
20:55.53,NO,LX,00:00:00:00,00:40:47.00,1/380.1,
20:55.56,NO,LX,00:00:00:00,00:40:45.00,1/380,
20:56.37,NO,LX,00:00:00:00,00:40:52.27,1/380.1,
20:56.46,NO,D3,00:00:00:00,00:39:15.00,1/380.1,End:
20:56.58,NO,D3,00:00:00:00,00:40:45.00,1/380.1,End:
20:57.06,NO,LX,00:00:00:00,00:40:46.29,1/380.2,
20:57.06,NO,LX,00:00:00:00,00:40:47.22,1/380.1,
20:57.06,NO,LX,00:00:00:00,00:40:47.28,1/380,
20:57.08,NO,LX,00:00:00:00,00:40:48.15,1/379,
20:57.12,NO,LX,00:00:00:00,00:40:45.00,1/380,
20:57.13,NO,LX,00:00:00:00,00:40:45.00,1/380.1,
20:57.13,NO,LX,00:00:00:00,00:40:45.00,1/380.2,
20:57.15,NO,LX,00:00:00:00,00:40:45.00,1/380.1,
20:57.15,NO,LX,00:00:00:00,00:40:45.00,1/380,
20:57.19,NO,LX,00:00:00:00,00:40:45.00,1/379,
20:57.19,NO,LX,00:00:00:00,00:40:45.00,1/380,
20:57.22,NO,LX,00:00:00:00,00:40:45.00,1/379,
20:57.25,NO,LX,00:00:00:00,00:40:45.00,1/380,
20:57.25,NO,LX,00:00:00:00,00:40:45.00,1/380.1,
20:57.26,NO,LX,00:00:00:00,00:40:45.00,1/380.2,
20:57.34,NO,LX,00:00:00:00,00:40:45.07,1/380.1,
20:57.35,NO,LX,00:00:00:00,00:40:45.07,1/380,
20:57.35,NO,LX,00:00:00:00,00:40:44.03,1/379,
20:57.37,NO,LX,00:00:00:00,00:40:45.22,1/380,
20:57.37,NO,LX,00:00:00:00,00:40:45.28,1/380.1,
20:57.38,NO,LX,00:00:00:00,00:40:45.28,1/380.2,
20:59.01,NO,LX,00:00:00:00,00:40:45.00,1/380.1,
20:59.01,NO,LX,00:00:00:00,00:40:45.00,1/380,
20:59.01,NO,LX,00:00:00:00,00:40:45.00,1/379,
20:59.03,NO,LX,00:00:00:00,00:40:45.00,1/380,
20:59.04,NO,LX,00:00:00:00,00:40:45.00,1/380.1,
20:59.05,NO,LX,00:00:00:00,00:40:45.00,1/380.2,
20:59.08,NO,LX,00:00:00:00,00:40:46.22,1/380.1,
20:59.08,NO,LX,00:00:00:00,00:40:47.02,1/380,
20:59.09,NO,LX,00:00:00:00,00:40:47.09,1/379,
20:59.09,NO,LX,00:00:00:00,00:40:45.00,1/380,
20:59.10,NO,LX,00:00:00:00,00:40:45.00,1/380.1,
20:59.11,NO,LX,00:00:00:00,00:40:45.07,1/380.2,
21:01.55,NO,D3,00:00:00:00,00:40:45.00,1/380.2,End:
21:02.07,NO,D3,00:00:00:00,00:40:33.00,1/380.2,End:
21:02.38,NO,D3,00:00:00:00,00:41:11.00,1/380.2,button:
21:03.57,NO,D3,00:00:00:00,00:45:26.00,1/380.2,End:
21:04.03,NO,D3,00:00:00:00,00:41:08.00,1/380.2,End:
21:14.42,NO,LX,00:00:00:00,00:41:09.09,1/350,button
21:14.51,NO,D3,00:00:00:00,00:39:15.00,1/350,End:
21:15.38,NO,LX,00:00:00:00,00:39:45.00,1/356,SCREAM AND SHOUT
21:15.39,NO,LX,00:00:00:00,00:39:45.00,1/358,SCREAM AND SHOUT
21:15.39,NO,LX,00:00:00:00,00:39:45.00,1/366,SCREAM AND SHOUT
21:15.40,NO,LX,00:00:00:00,00:39:45.00,1/368,SCREAM AND SHOUT
21:15.40,NO,LX,00:00:00:00,00:39:45.00,1/379,SCREAM AND SHOUT
21:16.04,NO,LX,00:00:00:00,00:39:45.00,1/368,SCREAM AND SHOUT
21:16.04,NO,LX,00:00:00:00,00:39:45.00,1/366,SCREAM AND SHOUT
21:16.06,NO,LX,00:00:00:00,00:39:45.00,1/358,SCREAM AND SHOUT
21:16.06,NO,LX,00:00:00:00,00:39:45.00,1/366,SCREAM AND SHOUT
21:16.06,NO,LX,00:00:00:00,00:39:45.00,1/368,SCREAM AND SHOUT
21:16.06,NO,LX,00:00:00:00,00:39:45.00,1/379,SCREAM AND SHOUT
21:16.07,NO,D3,00:00:00:00,00:40:45.00,1/380,CUE:380
21:16.07,NO,LX,00:00:00:00,00:40:45.06,1/380,button
21:16.08,NO,LX,00:00:00:00,00:40:45.22,1/379,button
21:16.10,NO,LX,00:00:00:00,00:40:47.15,1/368,button
21:16.10,NO,LX,00:00:00:00,00:40:48.11,1/366,button
21:16.11,NO,LX,00:00:00:00,00:40:49.10,1/358,button
21:16.12,NO,LX,00:00:00:00,00:40:49.26,1/356,button
21:16.19,NO,LX,00:00:00:00,00:40:56.22,1/358,button
21:16.19,NO,LX,00:00:00:00,00:40:57.10,1/366,button
21:16.21,NO,LX,00:00:00:00,00:40:58.10,1/368,button
21:16.21,NO,LX,00:00:00:00,00:40:59.00,1/379,button
21:16.22,NO,LX,00:00:00:00,00:40:45.07,1/380,button
21:16.27,NO,LX,00:00:00:00,00:40:50.06,1/379,button
21:16.27,NO,LX,00:00:00:00,00:40:50.27,1/368,button
21:16.29,NO,LX,00:00:00:00,00:40:51.22,1/366,button
21:16.29,NO,LX,00:00:00:00,00:40:51.29,1/358,button
21:16.29,NO,LX,00:00:00:00,00:40:52.11,1/356,button
21:16.39,NO,LX,00:00:00:00,00:41:02.18,1/358,button
21:16.40,NO,LX,00:00:00:00,00:41:02.26,1/366,button
21:16.40,NO,LX,00:00:00:00,00:41:03.21,1/368,button
21:16.41,NO,LX,00:00:00:00,00:41:04.09,1/379,button
21:16.41,NO,LX,00:00:00:00,00:40:45.05,1/380,button
21:16.41,NO,LX,00:00:00:00,00:40:45.23,1/379,button
21:16.43,NO,LX,00:00:00:00,00:40:46.07,1/368,button
21:16.43,NO,LX,00:00:00:00,00:40:46.17,1/366,button
21:16.43,NO,LX,00:00:00:00,00:40:46.26,1/358,button
21:16.44,NO,LX,00:00:00:00,00:40:47.13,1/356,button
21:16.44,NO,D3,00:00:00:00,00:39:15.00,1/350,End:
21:16.45,NO,LX,00:00:00:00,00:39:15.02,1/350,SCREAM AND SHOUT
21:17.00,NO,LX,00:00:00:00,00:39:30.00,1/356,SCREAM AND SHOUT
21:17.00,NO,LX,00:00:00:00,00:39:30.08,1/358,SCREAM AND SHOUT
21:17.00,NO,LX,00:00:00:00,00:39:30.19,1/366,SCREAM AND SHOUT
21:17.00,NO,LX,00:00:00:00,00:39:31.02,1/368,SCREAM AND SHOUT
21:17.02,NO,LX,00:00:00:00,00:39:31.23,1/379,SCREAM AND SHOUT
21:17.02,NO,D3,00:00:00:00,00:40:45.00,1/380,CUE:380
21:17.02,NO,LX,00:00:00:00,00:40:45.04,1/380,button
21:17.02,NO,LX,00:00:00:00,00:40:45.21,1/380.1,button
21:17.03,NO,LX,00:00:00:00,00:40:45.08,1/380,button
21:17.04,NO,LX,00:00:00:00,00:40:45.16,1/379,button
21:17.04,NO,LX,00:00:00:00,00:40:45.28,1/368,button
21:17.04,NO,LX,00:00:00:00,00:40:46.07,1/366,button
21:17.04,NO,LX,00:00:00:00,00:40:46.13,1/358,button
21:17.04,NO,LX,00:00:00:00,00:40:46.20,1/356,button
21:17.20,NO,D3,00:00:00:00,00:39:15.00,1/350,End:
21:17.20,NO,LX,00:00:00:00,00:39:15.07,1/350,SCREAM AND SHOUT
21:17.24,NO,LX,00:00:00:00,00:39:19.02,1/356,SCREAM AND SHOUT
21:17.24,NO,LX,00:00:00:00,00:39:19.07,1/358,SCREAM AND SHOUT
21:17.24,NO,LX,00:00:00:00,00:39:19.25,1/366,SCREAM AND SHOUT
21:17.32,NO,LX,00:00:00:00,00:39:27.04,1/358,SCREAM AND SHOUT
21:17.32,NO,LX,00:00:00:00,00:39:27.17,1/366,SCREAM AND SHOUT
21:17.37,NO,LX,00:00:00:00,00:39:31.27,1/368,SCREAM AND SHOUT
21:17.37,NO,LX,00:00:00:00,00:39:32.18,1/379,SCREAM AND SHOUT
21:17.38,NO,LX,00:00:00:00,00:39:33.14,1/368,SCREAM AND SHOUT
21:17.40,NO,LX,00:00:00:00,00:39:35.05,1/379,SCREAM AND SHOUT
21:17.47,NO,LX,00:00:00:00,00:39:42.01,1/368,SCREAM AND SHOUT
21:18.11,NO,LX,00:00:00:00,00:39:45.00,1/379,SCREAM AND SHOUT
21:18.17,NO,LX,00:00:00:00,00:39:45.00,1/369,SCREAM AND SHOUT
21:18.17,NO,LX,00:00:00:00,00:39:45.00,1/368,SCREAM AND SHOUT
21:18.19,NO,LX,00:00:00:00,00:39:45.00,1/366,SCREAM AND SHOUT
21:18.20,NO,LX,00:00:00:00,00:39:45.00,1/358,SCREAM AND SHOUT
21:18.20,NO,LX,00:00:00:00,00:39:45.00,1/356,SCREAM AND SHOUT
21:18.22,NO,LX,00:00:00:00,00:39:15.06,1/350,SCREAM AND SHOUT
21:18.22,NO,LX,00:00:00:00,00:39:15.17,1/356,SCREAM AND SHOUT
21:18.24,NO,LX,00:00:00:00,00:39:15.08,1/350,SCREAM AND SHOUT
21:19.25,NO,LX,00:00:00:00,00:39:45.00,1/348,SCREAM AND SHOUT
21:19.25,NO,D3,00:00:00:00,00:38:45.00,1/346,CUE:380
21:19.25,NO,LX,00:00:00:00,00:38:45.08,1/346,(restore)
21:21.53,NO,LX,00:00:00:00,00:39:15.00,1/348,(restore)
21:22.23,NO,D3,12:00:03:04,00:39:15.00,1/350,CUE:350
21:22.24,NO,LX,12:00:03:13,00:39:15.08,1/350,SCREAM AND SHOUT
21:24.07,NO,LX,12:01:46:25,00:39:45.00,1/356,SCREAM AND SHOUT
21:24.13,NO,D3,12:01:53:02,00:39:46.00,1/356,CUE:380
21:24.20,NO,LX,12:02:00:08,00:39:53.06,1/358,
21:24.51,NO,LX,12:02:30:28,00:40:18.00,1/366,
21:25.26,NO,LX,12:03:06:06,00:40:10.14,1/368,
21:25.29,NO,LX,12:03:09:00,00:40:13.08,1/369,
21:25.35,NO,LX,12:03:14:25,00:40:15.00,1/379,
21:26.28,NO,D3,12:04:08:03,00:40:45.00,1/380,CUE:380
21:26.29,NO,LX,12:04:08:12,00:40:45.07,1/380,button
21:26.29,NO,LX,12:04:08:23,00:40:45.20,1/380.1,button
21:26.30,NO,LX,12:04:09:27,00:40:46.23,1/380.2,button
21:26.43,NO,D3,00:00:00:00,00:39:44.00,1/380.2,End:
21:27.38,NO,D3,00:00:00:00,00:40:15.00,1/380.2,CUE:380
21:32.05,NO,D3,00:00:00:00,00:42:15.00,1/380.2,CUE:1
21:32.05,NO,D3,00:00:00:00,00:42:15.00,1/380.2,End:
21:32.05,NO,D3,00:00:00:00,00:42:15.01,1/380.2,CUE:380
21:33.32,NO,D3,00:00:00:00,00:32:30.00,1/380.2,End:
21:37.26,NO,D3,00:00:00:00,00:39:15.00,1/350,CUE:380
21:37.26,NO,LX,00:00:00:00,00:39:15.01,1/350,SCREAM AND SHOUT
21:43.22,NO,D3,00:00:00:00,00:40:45.00,1/350,CUE:380
21:44.40,NO,D3,00:00:00:00,00:39:18.00,1/350,CUE:380
21:44.53,NO,D3,00:00:00:00,00:39:14.00,1/350,CUE:380
21:44.54,NO,D3,00:00:00:00,00:39:15.00,1/350,CUE:350
21:45.09,NO,D3,00:00:00:00,00:39:45.00,1/350,CUE:380
21:45.38,NO,D3,00:00:00:00,00:39:44.00,1/350,CUE:380
21:45.42,NO,D3,00:00:00:00,00:39:46.00,1/350,CUE:380
21:46.36,NO,D3,00:00:00:00,00:39:43.00,1/350,CUE:380
21:46.37,NO,D3,00:00:00:00,00:39:45.00,1/350,CUE:380
